player,Minutes_Played,Pos,Rebounds
Precious Achiuwa,20.7,C,6.0
Steven Adams,27.0,C,11.5
Bam Adebayo,34.6,C,9.2
Ochai Agbaji,20.5,SG,2.1
Santi Aldama,21.8,PF,4.8
Grayson Allen,27.4,SG,3.3
Jarrett Allen,32.6,C,9.8
Jose Alvarado,21.5,PG,2.3
Kyle Anderson,28.4,PF,5.3
Giannis Antetokounmpo,32.1,PF,11.8
Thanasis Antetokounmpo,5.6,SF,1.2
Cole Anthony,25.9,PG,4.8
OG Anunoby,35.6,SF,5.0
Deni Avdija,26.6,SF,6.4
Deandre Ayton,30.4,C,10.0
Udoka Azubuike,10.0,C,3.3
Marvin Bagley III,23.6,C,6.4
Patrick Baldwin Jr.,7.3,SF,1.3
LaMelo Ball,35.2,PG,6.4
Paolo Banchero,33.8,PF,6.9
Desmond Bane,31.7,SG,5.0
Dalano Banton,9.0,PG,1.5
Dominick Barlow,14.6,SF,3.6
Harrison Barnes,32.5,PF,4.5
Scottie Barnes,34.8,PF,6.6
RJ Barrett,33.9,SG,5.0
Charles Bassey,14.5,C,5.5
Keita Bates-Diop,21.7,SF,3.7
Nicolas Batum,21.9,PF,3.8
Bradley Beal,33.5,SG,3.9
MarJon Beauchamp,13.5,SF,2.2
D?vis Bert?ns,10.9,PF,1.2
Khem Birch,8.1,C,1.3
Bismack Biyombo,14.3,C,4.3
Buddy Boeheim,9.0,PG,0.6
Bogdan Bogdanovi?,27.9,SG,3.1
Bojan Bogdanovi?,32.1,PF,3.8
Bol Bol,21.5,PF,5.8
Leandro Bolmaro,4.9,SG,0.5
Devin Booker,34.6,SG,4.5
Brandon Boston Jr.,11.3,SG,1.4
Chris Boucher,20.0,PF,5.5
James Bouknight,15.1,SG,2.1
Tony Bradley,2.8,C,0.9
Malaki Branham,23.5,SF,2.7
Jarrell Brantley,9.8,PF,1.5
Christian Braun,15.5,SG,2.4
Oshae Brissett,16.7,SF,3.4
Malcolm Brogdon,26.0,PG,4.2
Dillon Brooks,30.3,SF,3.3
Bruce Brown,28.5,SG,4.1
Greg Brown III,5.8,PF,1.2
Jaylen Brown,35.9,SF,6.9
Kendall Brown,6.7,SG,1.0
Sterling Brown,6.0,SG,2.0
Troy Brown Jr.,24.5,SF,4.1
Jalen Brunson,35.0,PG,3.5
Reggie Bullock,30.3,SF,3.6
Alec Burks,22.0,SG,3.1
Deonte Burton,3.0,SG,0.0
Jared Butler,12.8,SG,0.7
Jimmy Butler,33.4,SF,5.9
John Butler,11.6,C,0.9
Jamal Cain,13.3,SF,2.9
Kentavious Caldwell-Pope,31.3,SG,2.7
Facundo Campazzo,6.5,PG,0.3
Vlatko ?an?ar,14.8,PF,2.1
Clint Capela,26.6,C,11.0
Vernon Carey Jr.,2.5,C,1.0
Jevon Carter,22.3,PG,2.5
Wendell Carter Jr.,29.6,C,8.7
Michael Carter-Williams,11.0,PG,1.3
Alex Caruso,23.5,PG,2.9
Kennedy Chandler,7.8,PG,1.1
Max Christie,12.5,SG,1.8
Josh Christopher,12.3,SG,1.1
Brandon Clarke,19.5,PF,5.5
Jordan Clarkson,32.6,SG,4.0
Nic Claxton,29.9,C,9.2
Amir Coffey,12.5,SG,1.1
John Collins,30.0,PF,6.5
Zach Collins,22.9,C,6.4
Chance Comanche,21.0,C,3.0
Pat Connaughton,23.7,SG,4.6
Xavier Cooks,12.6,PF,3.8
Robert Covington,16.2,PF,3.5
Torrey Craig,24.7,SF,5.4
Jae Crowder,18.9,SF,3.8
Jarrett Culver,13.7,SG,3.8
Cade Cunningham,33.3,PG,6.2
Seth Curry,19.9,SG,1.6
Stephen Curry,34.7,PG,6.1
Dyson Daniels,17.7,PG,3.2
Anthony Davis,34.0,C,12.5
Johnny Davis,15.1,SG,2.3
Terence Davis,13.1,SG,2.2
JD Davison,5.5,PG,0.8
Darius Days,6.3,PF,1.5
Matthew Dellavedova,6.7,PG,0.4
DeMar DeRozan,36.2,SF,4.6
Moussa Diabaté,8.9,PF,2.3
Mamadi Diakite,8.0,PF,1.4
Hamidou Diallo,17.8,SG,3.5
Gorgui Dieng,11.5,C,3.5
Ousmane Dieng,14.6,SF,2.7
Donte DiVincenzo,26.3,SG,4.5
Luka Don?i?,36.2,PG,8.6
Tyler Dorsey,2.7,SG,0.7
Luguentz Dort,30.7,SG,4.6
Ayo Dosunmu,26.2,SG,2.8
Devon Dotson,8.8,PG,1.7
Jeff Dowtin,10.4,PG,0.9
PJ Dozier,4.9,SG,0.9
Andre Drummond,12.7,C,6.6
Chris Duarte,19.5,SF,2.5
David Duke Jr.,9.9,SG,1.3
Kris Dunn,25.8,PG,4.5
Jalen Duren,24.9,C,8.9
Tari Eason,21.5,PF,6.0
Anthony Edwards,36.0,SG,5.8
Keon Ellis,4.4,SG,0.5
Joel Embiid,34.6,C,10.2
Drew Eubanks,20.3,C,5.4
Malachi Flynn,13.0,PG,1.4
Simone Fontecchio,14.7,SF,1.7
Bryn Forbes,10.7,SG,0.6
Trent Forrest,12.0,PG,1.6
Michael Foster Jr.,1.0,PF,0.0
Evan Fournier,17.0,SG,1.8
De'Aaron Fox,33.4,PG,4.2
Markelle Fultz,29.6,PG,3.9
Wenyen Gabriel,15.1,PF,4.2
Daniel Gafford,20.6,C,5.6
Darius Garland,35.5,PG,2.7
Usman Garuba,12.9,PF,4.1
Luka Garza,8.7,C,2.3
Rudy Gay,14.6,PF,2.9
Paul George,34.6,SG,6.1
Taj Gibson,9.8,C,1.9
Josh Giddey,31.1,SG,7.9
Shai Gilgeous-Alexander,35.5,PG,4.8
Anthony Gill,10.6,PF,1.7
Jacob Gilyard,41.0,PG,4.0
Rudy Gobert,30.7,C,11.6
Jordan Goodwin,17.8,PG,3.3
Aaron Gordon,30.2,PF,6.6
Jerami Grant,35.7,PF,4.5
RaiQuan Gray,35.0,PF,9.0
